Funkcja,Parametry,Warunek brzegowy,Najgorsze rozwiązanie,Najlepsze rozwiązanie,Średnia,Odchylenie standardowe,Median
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana pochłaniająca,43.206449740107935,0.158541340853445,0.5228659125966615,2.3875463341721996,0.22111817136483225
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana odbijająca,41.16785526936002,0.17684871663530952,0.5121023034966273,2.2621913711236035,0.2196613957242321
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana tłumiąca,45.89064019805403,0.169364102000069,0.5740809910709239,2.7923403840070695,0.20444570893135622
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Niewidoczna ściana,41.738282730191564,0.16273309490350882,0.5964497778305641,2.654636510630741,0.21738648616048653
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Niewidoczna ściana  tłumiąca,42.20476810303234,0.16720016110187857,0.6110438168943143,2.7821056601855623,0.22165126000530022
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Niewidoczna ściana odbijająca,44.421371088602854,0.18443741694103863,0.5961331346490153,2.7087259888146855,0.21282021177074123
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana lustrzana,45.913242146339655,0.19925056678463834,0.5682902180829152,2.3564518797002423,0.2698234716125695
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana resetująca,36.77214639677495,0.17280025263125445,0.5293196810409578,2.209400533069307,0.23098166345200138
Funkcja sferyczna,Wymiary: 20; Rozmiar roju: 100; Max iteracji: 1000,Ściana teleportująca,33.37778775460105,0.1583254689763057,0.5424200566720436,2.19924461351513,0.23054360596717355
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Ściana pochłaniająca,68.49111318129799,0.2599161211229324,0.7077527587297238,2.721517139527001,0.3833047060199074
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Ściana odbijająca,69.36003621046777,0.29389432078959127,0.7762618117763939,2.967349921175807,0.44058046505012366
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Ściana tłumiąca,63.67874872176411,0.2817322569913212,0.6726844216889749,2.601819222569487,0.3854889625666798
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Niewidoczna ściana,64.60470434172619,0.29888220848844427,0.8199299048749732,3.0116344032215743,0.44270541199008895
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Niewidoczna ściana  tłumiąca,62.37216594080932,0.27972743937045347,0.8021259379548533,2.994969020037928,0.4276869508341566
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Niewidoczna ściana odbijająca,63.842847506184036,0.3045335898339881,0.8192196005570632,3.154770438006541,0.42375580963017934
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Ściana lustrzana,65.27642498139232,0.28309097315751036,0.7320790736344504,2.6834598878070346,0.39940289246575306
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Ściana resetująca,64.96608809189819,0.30685087756235924,0.7627112151912537,2.894804789038165,0.4318722718352051
Funkcja sferyczna,Wymiary: 30; Rozmiar roju: 150; Max iteracji: 2000,Ściana teleportująca,67.1802204759003,0.28221161937273986,0.7996942896955452,2.9906907124882274,0.395681517431875
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 250; Max iteracji: 4000,Ściana pochłaniająca,128.97392816794368,0.5026115552326391,1.1623394100530835,3.731699692361825,0.7163176178736743
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 250; Max iteracji: 4000,Ściana odbijająca,124.4760520709452,0.4572217977081147,1.1897302033755146,3.774631754219134,0.7260685648183427
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 250; Max iteracji: 4000,Ściana tłumiąca,113.17138909036461,0.4095578730508527,1.166022298960791,3.6224477333561267,0.7871023522366895
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 250; Max iteracji: 4000,Niewidoczna ściana,125.84503670160363,0.6535576813629281,1.4405618784890861,4.33472714262162,0.9007409716719851
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 250; Max iteracji: 4000,Niewidoczna ściana  tłumiąca,119.88128144116646,0.740604486760405,1.5386503148951358,4.289057279184499,1.0810912223941274
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 250; Max iteracji: 4000,Niewidoczna ściana odbijająca,119.80277687068653,0.688187539683259,1.487364746142725,4.260679022050657,0.9777096066900416
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 250; Max iteracji: 4000,Ściana lustrzana,122.92001157700301,0.6401508164607156,1.3455798388883629,3.927770444677312,0.9150413314748459
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 250; Max iteracji: 4000,Ściana resetująca,128.05197152763319,0.6795903847128367,1.4013376973961638,4.025438180173845,0.9380025524517743
Funkcja sferyczna,Wymiary: 50; Rozmiar roju: 250; Max iteracji: 4000,Ściana teleportująca,119.96133123540316,0.7062609882606685,1.4192770085439053,3.877855579020747,0.9357575551529042
