Function,N,Boundary condition,Worst,Best,Std. dev.
Sphere,20,Absorbing,27.409925360244507,0.0579864259558353,3.4227520606762822
Sphere,20,Reflecting,24.5045975848007,0.1113636952902835,3.185845083783464
Sphere,20,Damping,25.62885064413182,0.11082672067621957,3.3923849666980703
Sphere,20,Invisible,27.04086944244571,0.11909071618636144,3.4855350919657955
Sphere,20,Invisible/Damping,26.345491955796945,0.09453614706777982,3.4023749349336847
Sphere,20,Invisible/Reflecting,24.134340208726794,0.034109359542550996,3.4872334865025683
Sphere,20,Mirroring,25.672072830440648,0.11720549641025517,3.4167580402816022
Sphere,20,Restarting,24.55269394237702,0.09759842766043483,3.089605699820896
Sphere,20,Teleporting,25.249688644450167,0.11207333732814717,3.1608687914616844
Sphere,30,Absorbing,41.881727349900316,0.03034867121658384,4.274058789965319
Sphere,30,Reflecting,41.51551029762237,0.10570478257551699,4.297924509643127
Sphere,30,Damping,38.95863010690879,0.04431818038750359,4.3702060729709045
Sphere,30,Invisible,38.67011790717247,0.033531015716014016,6.219333993402601
Sphere,30,Invisible/Damping,40.06589528581479,0.07907590151912733,4.557094769330204
Sphere,30,Invisible/Reflecting,42.671874237216954,0.07764693470765556,6.414718104837253
Sphere,30,Mirroring,39.824292706649935,0.10337746127506288,4.091379113430998
Sphere,30,Restarting,39.07448526880033,0.10152563771060905,4.039068533949134
Sphere,30,Teleporting,39.571202535837486,0.0901373797714979,4.459347603423152
Sphere,50,Absorbing,73.0611607301494,0.043839212744305835,8.59867188134843
Sphere,50,Reflecting,65.12022384645977,0.0774053275471565,5.234860183608926
Sphere,50,Damping,66.81578632978886,0.05831336586667851,5.651886379932325
Sphere,50,Invisible,66.25885019104189,0.09430392484382011,5.2537955505579745
Sphere,50,Invisible/Damping,69.66214014130993,0.05779797789710781,7.3073917897739715
Sphere,50,Invisible/Reflecting,68.29682151098291,0.11829750440729823,4.9667692686294815
Sphere,50,Mirroring,70.66247345933448,0.0645417193541842,5.71800813661954
Sphere,50,Restarting,64.58549694249396,0.06786298776913136,6.169364920292132
Sphere,50,Teleporting,71.60316315394005,0.0597954754063271,5.837954239551067
Griewank,20,Absorbing,87.52576942754328,1.1358006253797825,10.534695860842245
Griewank,20,Reflecting,96.4722604850353,1.1986756317395417,11.950928501457865
Griewank,20,Damping,91.76085299424284,1.1903500084700855,12.056811877141936
Griewank,20,Invisible,100.04334506755856,1.172113952268642,13.266805743646808
Griewank,20,Invisible/Damping,84.28098903102463,1.1252081570025338,11.729152433843161
Griewank,20,Invisible/Reflecting,100.159318306024,1.1200594262307355,12.548227130932183
Griewank,20,Mirroring,97.96619411325933,1.1913190588776723,12.39052107985456
Griewank,20,Restarting,99.84975677372094,1.1971605569454424,12.603196363715075
Griewank,20,Teleporting,90.32030581228955,1.2039692369766382,11.394790028323605
Griewank,30,Absorbing,124.81492179525814,1.0996579845202292,12.992992132581483
Griewank,30,Reflecting,136.9183890709889,1.1251468442360428,13.874638748191373
Griewank,30,Damping,133.44496166608803,1.0619472030472645,13.95862638941069
Griewank,30,Invisible,127.92010411219428,1.1424869252098255,13.89380855661227
Griewank,30,Invisible/Damping,136.04926791600323,1.1157583140832044,14.647399239334012
Griewank,30,Invisible/Reflecting,137.04204371030298,1.1420053076329792,14.799929061301153
Griewank,30,Mirroring,127.52759583843775,1.108313925200195,13.67876230734305
Griewank,30,Restarting,139.04505931932965,1.1016756595441513,14.220939674670332
Griewank,30,Teleporting,139.41500980664378,1.0848467429990698,14.693228746366966
Griewank,50,Absorbing,230.21758983308405,1.1304561594562794,17.295681300013264
Griewank,50,Reflecting,247.53285271051146,1.0581565657190546,19.54926566578759
Griewank,50,Damping,235.1072551892948,1.026127493659533,19.033365403977918
Griewank,50,Invisible,230.10986251942123,1.0449840932994374,18.44033298712317
Griewank,50,Invisible/Damping,241.25793751930988,1.1209060028259525,19.46658877457679
Griewank,50,Invisible/Reflecting,240.9884713012566,1.0717614221855873,18.823378940765636
Griewank,50,Mirroring,242.59303089009262,1.0934315894133184,19.51062802528383
Griewank,50,Restarting,231.15587800238768,1.047103897182959,17.736378293210763
Griewank,50,Teleporting,243.91441427278795,1.0903488145789277,19.227617907262044
Rastrigin,20,Absorbing,190.65613389707113,27.407266359588455,29.943841217234915
Rastrigin,20,Reflecting,177.76691553879576,32.46045708243274,28.538246929091077
Rastrigin,20,Damping,186.28995492712568,30.028273742064687,28.520626351669602
Rastrigin,20,Invisible,190.64622082903384,30.337392799350777,34.71584699258854
Rastrigin,20,Invisible/Damping,190.68445616068294,25.825565723692222,34.38386513269505
Rastrigin,20,Invisible/Reflecting,189.7177414176627,24.930899105572486,33.67053449067886
Rastrigin,20,Mirroring,178.90447667039874,25.992303925753003,31.87930684667187
Rastrigin,20,Restarting,195.94215890748538,21.81277343792035,36.57145000227895
Rastrigin,20,Teleporting,185.13002775553906,32.11761579324017,34.06573081790788
Rastrigin,30,Absorbing,273.2343855414763,28.942297575516967,39.38283342095669
Rastrigin,30,Reflecting,284.83838064567635,17.718565661852505,45.12128950593121
Rastrigin,30,Damping,281.7346114108905,27.355479677596854,41.10761052949941
Rastrigin,30,Invisible,272.68577236250206,18.25827763077732,52.175806059244984
Rastrigin,30,Invisible/Damping,277.347547998913,13.630559336488428,51.54174086329153
Rastrigin,30,Invisible/Reflecting,271.00193440050964,11.212900154754838,48.730042640073556
Rastrigin,30,Mirroring,255.86715235555803,17.8734743519635,43.20886972569715
Rastrigin,30,Restarting,266.0438330868565,10.560884025875293,48.40357608964025
Rastrigin,30,Teleporting,268.2480891406478,12.422935165182722,50.95030210362741
Rastrigin,50,Absorbing,420.03868715823654,14.630612596608374,57.2616853876349
Rastrigin,50,Reflecting,440.37601064504616,12.379074191991755,59.03350585331265
Rastrigin,50,Damping,417.00383622300023,15.295136955866866,56.7465610013352
Rastrigin,50,Invisible,416.47154454715064,9.34432323819062,62.87861700894202
Rastrigin,50,Invisible/Damping,444.0361901122909,9.40382684546952,62.60368444707981
Rastrigin,50,Invisible/Reflecting,454.77832253447434,8.408483290667286,67.68273519631134
Rastrigin,50,Mirroring,424.9939197223234,9.373356930375845,59.20295494024555
Rastrigin,50,Restarting,438.27146581279885,7.899336190706999,58.941912893179236
Rastrigin,50,Teleporting,447.6371697592094,14.932667847290986,62.10210968273991
Rosenbrock,20,Absorbing,756.9278667076693,19.627542314940353,83.76244317683202
Rosenbrock,20,Reflecting,861.1165237812805,19.362223178292165,96.40520906178385
Rosenbrock,20,Damping,892.1047637421132,19.545550084197885,89.98706670076339
Rosenbrock,20,Invisible,765.0247310487568,19.501034413210213,90.13834870951362
Rosenbrock,20,Invisible/Damping,706.572934845549,18.610170183829503,81.788370987876
Rosenbrock,20,Invisible/Reflecting,830.4811265503367,19.40646440304263,96.40875974031725
Rosenbrock,20,Mirroring,613.8062877836467,19.619828078039482,70.03174424051424
Rosenbrock,20,Restarting,672.8976759562089,19.566713389597943,79.57830469887939
Rosenbrock,20,Teleporting,804.5856123889799,19.64492826385769,91.1930902185051
Rosenbrock,30,Absorbing,1376.580584875171,27.825928348402567,127.59580428363263
Rosenbrock,30,Reflecting,1052.4457934270617,29.26196560105847,91.40235563384866
Rosenbrock,30,Damping,1251.5271783006704,29.196495769530934,117.65219541928569
Rosenbrock,30,Invisible,1076.3341272122054,29.304811044997145,93.49649088637854
Rosenbrock,30,Invisible/Damping,1160.2002075750793,29.212607163592526,122.703820886106
Rosenbrock,30,Invisible/Reflecting,1350.1526996859673,29.172412593933434,123.8398794856309
Rosenbrock,30,Mirroring,1321.5723883360276,29.42810062917625,112.62275175394176
Rosenbrock,30,Restarting,1157.264574834513,29.282866184023796,104.10376605239814
Rosenbrock,30,Teleporting,1195.6930745083903,29.222872303177603,103.03504167408806
Rosenbrock,50,Absorbing,2405.6857698293093,48.99391890944149,158.33612027481
Rosenbrock,50,Reflecting,2379.1358860269415,49.01306451559513,167.07049413169574
Rosenbrock,50,Damping,2396.266542100711,48.96176309123977,172.49841132826316
Rosenbrock,50,Invisible,2378.2075002227853,48.8295732177413,167.4994579730283
Rosenbrock,50,Invisible/Damping,2440.3220795825814,48.83923628926223,184.00302066074929
Rosenbrock,50,Invisible/Reflecting,2547.039849830528,49.00121074615435,184.64857479238685
Rosenbrock,50,Mirroring,2420.2243116944155,48.989633590650605,163.81217630516642
Rosenbrock,50,Restarting,2418.5179348796264,48.8437026046047,175.41748299240047
Rosenbrock,50,Teleporting,2413.2324486715734,48.97395246498664,164.40514510895548
Ackley,20,Absorbing,16.82985432856976,2.722145102905523,2.2087660982770116
Ackley,20,Reflecting,16.727012690252387,2.505068701262339,2.2792934944513776
Ackley,20,Damping,16.703651908179395,2.713289611344914,2.1502933013883845
Ackley,20,Invisible,16.93802158049265,2.7925234864773345,2.4041406605195283
Ackley,20,Invisible/Damping,17.225492657225512,2.7937526668967627,2.492636694799465
Ackley,20,Invisible/Reflecting,16.871926416285376,2.6403440110525276,2.422347882804068
Ackley,20,Mirroring,16.877928355711184,2.450066980777767,2.240027300858866
Ackley,20,Restarting,17.38522982167417,2.8376816604628283,2.3186551155717128
Ackley,20,Teleporting,16.78573238713403,2.6358343093202925,2.377135479300067
Ackley,30,Absorbing,17.06385555529291,1.653339655257763,2.0396523317177544
Ackley,30,Reflecting,16.623757399682678,2.1314452914878244,1.9105842166009406
Ackley,30,Damping,16.997215566086947,1.8413579882630082,2.0114170211570235
Ackley,30,Invisible,17.010495473774146,2.0272287503080215,2.1127215412496043
Ackley,30,Invisible/Damping,16.86232696284837,1.9249811925601126,2.1322918107923416
Ackley,30,Invisible/Reflecting,16.60615431280084,2.2431113500611737,2.035290143142758
Ackley,30,Mirroring,17.137340264495194,2.149154617042001,1.9420123317216091
Ackley,30,Restarting,16.976015011320403,1.733036799023861,1.989466457438958
Ackley,30,Teleporting,16.916280105415098,1.5866690983189355,2.1386823315867605
Ackley,50,Absorbing,17.349262279841092,1.2639520178040198,1.659200273589728
Ackley,50,Reflecting,16.95667184498255,1.4650303391197,1.6024642193369905
Ackley,50,Damping,17.119563836097406,1.217222059455724,1.6899016206398167
Ackley,50,Invisible,17.419926219736737,1.4099128830891217,1.7525837828178987
Ackley,50,Invisible/Damping,17.307576764157808,1.5157500103164152,1.773619637580724
Ackley,50,Invisible/Reflecting,17.34656334498727,1.3328342106773492,1.7541542495101548
Ackley,50,Mirroring,17.177097516712177,1.559016340906767,1.6385230985101131
Ackley,50,Restarting,17.267973012432996,1.3438715537505657,1.674137552041402
Ackley,50,Teleporting,17.298382770609294,1.5503705226889097,1.7056319558207327
